,Unnamed: 0,job_titles,companys,location,employment_type,gov_support,salary,links,industrys
65,65,Research Fellow,NATIONAL UNIVERSITY OF SINGAPORE,West,Non-executive,Government support available,"$48,000to$78,000",https://www.mycareersfuture.sg/job/research-fellow-national-university-singapore-758f7135e954c34f02cdab66e042aa09,Others
66,66,"Marketing Manager, Events & Conferences",S&P GLOBAL ASIAN HOLDINGS PTE. LTD.,Central,Executive,,"$4,500to$8,500",https://www.mycareersfuture.sg/job/marketing-manager-events-conferences-sp-global-asian-holdings-15b1354d7efeb625cf85de2b936fdd7b,Banking and Finance
67,67,Database Administrator (Oracle),CENTRAL PROVIDENT FUND BOARD,,,,Salary undisclosed,https://www.mycareersfuture.sg/job/database-administrator-central-provident-fund-board-a819beaa89874a9c918c8675cc73aff7,Information Technology ...
68,68,Database Administrator (Oracle),CENTRAL PROVIDENT FUND BOARD,,,,Salary undisclosed,https://www.mycareersfuture.sg/job/database-administrator-central-provident-fund-board-e5e24f79148dc28bb8afa778495f7028,Information Technology ...
69,69,TM1 Architect,CIELO TALENT PTE. LTD.,East,Manager,Government support available,"$6,000to$10,000",https://www.mycareersfuture.sg/job/tm1-architect-sanofi-aventis-singapore-dfdab97053064b570ad194e4149a526f,Information Technology
70,70,Admissions and Marketing Officer,SIR MANASSEH MEYER INTERNATIONAL SCHOOL PTE. LTD.,North,Junior Executive,,"$3,000to$3,700",https://www.mycareersfuture.sg/job/admissions-marketing-officer-sir-manasseh-meyer-international-school-194222c0d2567a69e91da76e37d8ff5f,Admin / Secretarial ...
71,71,Senior Assistant Manager / Assistant Manager (Executive Programmes Office),NATIONAL UNIVERSITY OF SINGAPORE,South,Middle Management ...,Government support available,"$3,200to$5,000",https://www.mycareersfuture.sg/job/senior-assistant-manager-assistant-manager-national-university-singapore-4059afc29aa1681455346e6c1ea94e0f,Education and Training
72,72,Software Consultant,CHARTERHOUSE PTE. LTD.,Islandwide,Executive,Government support available,"$5,500to$7,500",https://www.mycareersfuture.sg/job/software-consultant-charterhouse-8845d568c048513374e70389086ede25,Information Technology
73,73,Software Consultant,CHARTERHOUSE PTE. LTD.,Islandwide,Executive,Government support available,"$5,000to$7,500",https://www.mycareersfuture.sg/job/software-consultant-charterhouse-b81850ab8a6acee34be79ea7dc49ff07,Information Technology
74,74,Admission Officer,INVICTUS INTERNATIONAL SCHOOL PTE. LTD.,Central,Middle Management,,"$4,500to$5,000",https://www.mycareersfuture.sg/job/admission-officer-invictus-international-school-3c009a2153e017ac15807740995285f4,Admin / Secretarial ...
75,75,Software Consultant,APAR INNOSYS PTE. LTD.,Islandwide,Executive,,"$5,500to$7,500",https://www.mycareersfuture.sg/job/software-consultant-apar-innosys-a975662e51b3bdf5d31e7b14a5e68bd6,Information Technology
76,76,Software Consultant,APAR TECHNOLOGIES PTE. LTD.,"North, South, East, Central",Professional,Government support available,"$5,000to$7,000",https://www.mycareersfuture.sg/job/software-consultant-apar-technologies-f6f78887f7241e58497c88dd7e649c5d,Information Technology
77,77,HR Consultant,BLUECHIP PLATFORMS ASIA PTE. LTD.,Central,Senior Executive,,Salary undisclosed,https://www.mycareersfuture.sg/job/hr-consultant-bluechip-platforms-asia-b391a0b5f8d2926491b9be2ace02349e,Banking and Finance ...
78,78,"Team Assistant  /  Secretary (MNC / $3,500)",AAP CONSULTING PRIVATE LIMITED,East,Executive ...,,"$3,000to$3,500",https://www.mycareersfuture.sg/job/team-assistant-secretary-aap-consulting-3e6e06af671f3847157ec4c743fb05c0,Admin / Secretarial
79,79,Executive Assistant,GRANT THORNTON SINGAPORE PRIVATE LIMITED,Central,Non-executive,,"$3,500to$5,500",https://www.mycareersfuture.sg/job/executive-assistant-grant-thornton-singapore-5cf7eeae01df74cf3e0b4c9ee200dfc6,Admin / Secretarial
80,80,Fiori Developer,MTC GLOBAL SOLUTIONS PTE. LTD.,Islandwide,Professional,Government support available,"$6,000to$10,000",https://www.mycareersfuture.sg/job/fiori-developer-mtc-global-solutions-f8d46f265b3709c69c0bc70ae09db9fa,Consulting 
81,81,ABAP Consultant,MTC GLOBAL SOLUTIONS PTE. LTD.,Islandwide,Professional,Government support available,"$6,000to$10,000",https://www.mycareersfuture.sg/job/abap-consultant-mtc-global-solutions-6d09c2c14d53ea1e45c4912e0d496ccf,Consulting 
82,82,"Application Support Engineer (HTML, JS, CSS)",GLOBALSIGN.IN PTE. LTD.,Central,Professional,Government support available,"$3,500to$5,000",https://www.mycareersfuture.sg/job/application-support-engineer-globalsignin-58b2830c9adf2a629b6ffaaeed59d8cf,Information Technology
83,83,Customer Service Asst. Manager - Unilever International China Seeding & Cross Border E-commerce,UNILEVER ASIA PRIVATE LIMITED,South,Executive,Government support available,"$4,800to$6,000",https://www.mycareersfuture.sg/job/customer-service-asst-manager-unilever-international-china-seeding-cross-border-e-commerce-unilever-asia-879304ae78927f62935397f91c6c54ad,Logistics / Supply Chain
